18744042 2009-11-19+07:54:22.0000000000 2013-04-01+18:38:45.9373890730 3256324 3184 joel:storageadmin -rwxrwxr-x lee-bignaturals-sex-video-3.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/19
18744044 2009-11-19+07:54:22.0000000000 2013-04-01+18:38:45.9373890730 3274756 3200 joel:storageadmin -rwxrwxr-x lee-bignaturals-sex-video-4.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/19
18743992 2007-06-10+10:44:28.0000000000 2013-04-01+18:38:45.9373890730 847876 832 joel:storageadmin -rwxrwxr-x V08153_t8_650.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/11
18743989 2007-06-10+10:39:12.0000000000 2013-04-01+18:38:45.9383890730 847876 832 joel:storageadmin -rwxrwxr-x V08153_t5_650.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/11
18743991 2007-06-10+10:42:44.0000000000 2013-04-01+18:38:45.9383890730 847876 832 joel:storageadmin -rwxrwxr-x V08153_t7_650.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/11
18743990 2007-06-10+10:40:32.0000000000 2013-04-01+18:38:45.9383890730 847876 832 joel:storageadmin -rwxrwxr-x V08153_t6_650.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/11
18743933 2010-07-02+05:30:32.0000000000 2013-04-01+18:38:45.9383890730 2893719 2828 joel:storageadmin -rwxrwxr-x 2.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/01
18743932 2010-07-02+05:30:34.0000000000 2013-04-01+18:38:45.9383890730 3013725 2944 joel:storageadmin -rwxrwxr-x 1.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/01
18744047 2009-10-23+02:23:18.0000000000 2013-04-01+18:38:45.9383890730 3411972 3336 joel:storageadmin -rwxrwxr-x 01.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/20
18744049 2009-10-23+02:23:32.0000000000 2013-04-01+18:38:45.9383890730 3411972 3336 joel:storageadmin -rwxrwxr-x 03.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/20
18744048 2009-10-23+02:23:30.0000000000 2013-04-01+18:38:45.9383890730 3411972 3336 joel:storageadmin -rwxrwxr-x 02.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/20
18744009 2003-11-26+05:07:40.0000000000 2013-04-01+18:38:45.9383890730 1092485 1068 joel:storageadmin -rwxrwxr-x flick1.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/14
18744012 2003-11-26+05:08:16.0000000000 2013-04-01+18:38:45.9383890730 1120532 1096 joel:storageadmin -rwxrwxr-x flick4.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/14
18744013 2003-11-26+05:08:28.0000000000 2013-04-01+18:38:45.9383890730 1120076 1096 joel:storageadmin -rwxrwxr-x flick5.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/14
18744014 2003-11-26+05:08:38.0000000000 2013-04-01+18:38:45.9383890730 1053350 1032 joel:storageadmin -rwxrwxr-x flick6.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/14
18744011 2003-11-26+05:08:02.0000000000 2013-04-01+18:38:45.9383890730 1118177 1092 joel:storageadmin -rwxrwxr-x flick3.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/14
18744010 2003-11-26+05:07:50.0000000000 2013-04-01+18:38:45.9383890730 1120409 1096 joel:storageadmin -rwxrwxr-x flick2.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/14
18743967 2006-05-19+00:22:58.0000000000 2013-04-01+18:38:45.9383890730 14605762 14264 joel:storageadmin -rwxrwxr-x cmf_free.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/07
18743965 2006-04-28+03:31:20.0000000000 2013-04-01+18:38:45.9383890730 4712452 4604 joel:storageadmin -rwxrwxr-x cmf_free.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/07
18743985 2008-07-30+06:24:40.0000000000 2013-04-01+18:38:45.9383890730 4278276 4180 joel:storageadmin -rwxrwxr-x madison2.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/10
18743984 2008-07-30+06:24:40.0000000000 2013-04-01+18:38:45.9383890730 4278276 4180 joel:storageadmin -rwxrwxr-x madison1.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/10
18743982 2008-07-30+06:24:40.0000000000 2013-04-01+18:38:45.9383890730 4286468 4188 joel:storageadmin -rwxrwxr-x kylie3.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/10
18743983 2008-07-30+06:24:40.0000000000 2013-04-01+18:38:45.9383890730 4386820 4288 joel:storageadmin -rwxrwxr-x kylie4.mpg; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/020710/m/10
18743829 2008-12-24+08:40:14.0000000000 2013-04-01+18:38:45.9733890730 1573997 1540 joel:storageadmin -rwxrwxr-x 2.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/010110/mov/01
18743828 2008-12-24+08:40:14.0000000000 2013-04-01+18:38:45.9733890730 1426783 1396 joel:storageadmin -rwxrwxr-x 1.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/010110/mov/01
18743830 2008-12-24+08:40:14.0000000000 2013-04-01+18:38:45.9733890730 1055499 1032 joel:storageadmin -rwxrwxr-x 3.wmv; 10 /media/Scarydoor/mystuff/incoming/basic operations/n/C/010110/mov/01
18744268 2010-04-22+06:16:02.0000000000 2013-04-01+18:38:45.9733890730 148789342 145304 joel:storageadmin -rwxrwxr-x set4_1000k.wmv; 9 /media/Scarydoor/mystuff/incoming/basic operations/n/C/180410/Carmencocks.Complete.Videos.XXX.[SiteRip][GoldenPirates]
